z_auszahlungsbetrag,z_plz,z_ort,z_bundesland,z_breitengrad,z_laengengrad
5634,8539,Rosenbach,Sachsen,50.51537255,12.022325595062
100000,58455,Witten,Nordrhein-Westfalen,51.4406227,7.3459503002716
96246,30451,Hannover,Niedersachsen,52.3759922,9.7107124
24883,24937,Flensburg,Schleswig-Holstein,54.774554,9.4406925
10262,22767,Hamburg,Hamburg,53.544432,9.936007
44662,52372,Kreuzau,Nordrhein-Westfalen,50.74391725,6.4844376523762
18880,59075,Hamm,Nordrhein-Westfalen,51.68907195,7.7664409578329
19060,6193,Wettin,Sachsen-Anhalt,51.582815,11.8080778
10654,49074,Osnabrück,Niedersachsen,52.277872,8.039350178256
73640,16816,Neuruppin,Brandenburg,52.9427275,12.8034392
5061,37574,Einbeck,Niedersachsen,51.7720564,9.9197884461868
21151,88212,Ravensburg,Baden-Württemberg,47.7856593,9.6179193150878
94184,47411,Moers,Nordrhein-Westfalen,51.4522921,6.640351
9958,6188,Landsberg,Sachsen-Anhalt,51.5332843,12.1503573
9861,70173,Stuttgart,Baden-Württemberg,48.7736836,9.1755127
100000,91054,Erlangen,Bayern,49.60060715,11.001642812647
98446,9599,Freiberg,Sachsen,50.9161653,13.3419654
47517,44137,Dortmund,Nordrhein-Westfalen,51.5134748,7.4535393
5450,33334,Gütersloh,Nordrhein-Westfalen,51.9444149,8.4072587111789
98977,94424,Arnstorf,Bayern,48.5577373,12.8152805
4895,37619,Bodenwerder,Niedersachsen,51.9778256,9.5460582542918
25301,41460,Neuss,Nordrhein-Westfalen,51.2157461,6.6914366915741
94772,89077,Ulm,Baden-Württemberg,48.3918648,9.9856721
12772,7743,Jena,Thüringen,50.9312031,11.580249897687
89293,16816,Neuruppin,Brandenburg,52.91740325,12.801155038221
83368,23554,Lübeck,Schleswig-Holstein,53.8924326,10.687108815426
6000,37073,Göttingen,Niedersachsen,51.5307419,9.9281823
6400,49716,Meppen,Niedersachsen,52.6874832,7.3033901
45800,50825,Köln,Nordrhein-Westfalen,50.95283825,6.9023941749073
79236,74417,Gschwend,Baden-Württemberg,48.93390615,9.7421923745475
98831,2625,Bautzen,Sachsen,51.18156725,14.431765473905
34159,16248,Lunow-Stolzenhagen,Brandenburg,52.9472096,14.1036938
77600,22763,Hamburg,Hamburg,53.55247105,9.9244188623461
5150,25813,Husum,Schleswig-Holstein,54.4751854,9.0476785950414
30526,14467,Potsdam,Brandenburg,52.4025363,13.0620521
39972,59423,Unna,Nordrhein-Westfalen,51.5349018,7.6848209
19234,28279,Bremen,Bremen,53.0332429,8.8336595
8130,38100,Braunschweig,Niedersachsen,52.2605836,10.530035171188
17839,9126,Chemnitz,Sachsen,50.8201135,12.9314521
10145,45468,Mülheim,Nordrhein-Westfalen,51.43295215,6.8801296316375
100000,35037,Marburg,Hessen,50.8088206,8.7727039
8453,31303,Burgdorf,Niedersachsen,52.45152895,10.015489770795
64023,7743,Jena,Thüringen,50.9397127,11.5996189
20455,14797,Kloster Lehnin,Brandenburg,52.33011827101,12.74559575462
100000,76135,Karlsruhe,Baden-Württemberg,49.029287,8.3855788
43380,16816,Buskow,Brandenburg,52.86796125,12.817337712972
60575,70188,Stuttgart,Baden-Württemberg,48.7820265,9.2071422
99857,58507,Lüdenscheid,Nordrhein-Westfalen,51.22199165,7.6286992060525
61863,2959,Schleife,Sachsen,51.54187305,14.53476546845
22221,17089,Golchen,Mecklenburg-Vorpommern,53.8177139,13.2661084
88812,28203,Bremen,Bremen,53.0720362,8.8222952512905
87855,79539,Lörrach,Baden-Württemberg,47.6183379,7.6604515
61527,17235,Neustrelitz,Mecklenburg-Vorpommern,53.36204425,13.060212954429
99630,14770,Brandenburg an der Havel,Brandenburg,52.4118884,12.5559394
93935,93053,Regensburg,Bayern,49.0071065,12.0998751
81765,38106,Brunsviga,Niedersachsen,52.27514495,10.543959906099
19160,99423,Weimar,Thüringen,50.98188685,11.325991952635
63491,7973,Greiz,Thüringen,50.6553977,12.204125063328
99379,22119,Hamburg,Hamburg,53.5421651,10.1105657
79414,42105,Wuppertal,Nordrhein-Westfalen,51.26671395,7.1448427325779
5689,23843,Bad Oldesloe ,Schleswig-Holstein,53.8104808,10.3726151
38840,47119,Duisburg,Nordrhein-Westfalen,51.4541296,6.7339594
68308,28832,Achim,Niedersachsen,53.0113299,9.0386926
92346,63165,Mühlheim,Hessen,50.1186819,8.8398689
99739,14467,Potsdam,Brandenburg,52.40333,13.073322676474
87206,28203,Bremen,Bremen,53.0720362,8.8222952512905
43588,10785,Berlin,Berlin,52.5051452,13.358289766961
28373,70734,Fellbach,Baden-Württemberg,48.8072575,9.277133
5043,44623,Herne,Nordrhein-Westfalen,51.539831,7.2202895
29604,22926,Ahrensburg,Schleswig-Holstein,53.671797,10.234779
100000,14473,Potsdam,Brandenburg,52.3893884,13.0785354
9408,29690,Schwarmstedt,Niedersachsen,52.6693821,9.7086927
53697,21107,Hamburg,Hamburg,53.5163475,9.9826111
43929,15518,Steinhöfel OT Buchholz,Brandenburg,52.4251,14.1096583
28448,81369,München,Bayern,48.1084825,11.5220858
100000,85540,Haar,Bayern,48.1138899,11.737999869599
9469,12685,Berlin,Berlin,52.5375224,13.543206
6139,76133,Karlsruhe,Baden-Württemberg,49.0083567,8.4104458
25014,4157,Leipzig,Sachsen,51.36376455,12.373770817044
24800,16845,Großderschau,Brandenburg,52.7892835,12.3737682
99781,26789,Leer,Niedersachsen,53.2307834,7.4637897
28226,45326,Essen,Nordrhein-Westfalen,51.49605325,7.0124196840579
44607,36037,Fulda,Hessen,50.5494255,9.6745601
22725,81373,München,Bayern,48.1290056,11.535559
16740,28309,Bremen,Bremen,53.05839,8.8873487
40780,20457,Hamburg,Hamburg,53.542662,10.0094275
72470,15517,Fürstenwalde,Brandenburg,52.36727235,14.048309047586
98999,10557,Berlin,Berlin,52.5341991,13.3592766
65455,99734,Nordhausen,Thüringen,51.507380940124,10.803136469307
21291,80333,München,Berlin,48.1420062,11.574944691122
92292,4575,Neukieritzsch OT Deutzen,Sachsen,51.1118566,12.43262
48535,31655,Stadthagen,Niedersachsen,52.3209224,9.2048958
21742,7745,Jena,Thüringen,50.9208112,11.5778902
45767,91054,Erlangen,Bayern,49.6011387,11.040042
6325,3222,Lübbenau/Spreewald,Brandenburg,51.86138315,13.960901133229
66517,30165,Hannover,Niedersachsen,52.3916675,9.7255574
39690,71638,Ludwigsburg,Baden-Württemberg,48.89118685,9.1991001578327
19994,22765,Hamburg,Hamburg,53.555855,9.9300966
65664,90419,Nürnberg,Bayern,49.45788225,11.059709715433
